Country_Code,Year_Month,electricity_consumption,electricity_production,natural_gas_consumption,natural_gas_production,petroleum_consumption,petroleum_production
BRA,2022-01,2299.555,2300.6492,91.5866,65.6108,478.3513,6.5257
BRA,2022-02,2299.555,2300.6492,91.5866,65.6108,478.3513,6.5257
BRA,2022-03,2299.555,2300.6492,91.5866,65.6108,478.3513,6.5257
BRA,2022-04,2299.555,2300.6492,91.5866,65.6108,478.3513,6.5257
BRA,2022-05,2299.555,2300.6492,91.5866,65.6108,478.3513,6.5257
BRA,2022-06,2299.555,2300.6492,91.5866,65.6108,478.3513,6.5257
BRA,2022-07,2299.555,2300.6492,91.5866,65.6108,478.3513,6.5257
BRA,2022-08,2299.555,2300.6492,91.5866,65.6108,478.3513,6.5257
BRA,2022-09,2299.555,2300.6492,91.5866,65.6108,478.3513,6.5257
BRA,2022-10,2299.555,2300.6492,91.5866,65.6108,478.3513,6.5257
BRA,2022-11,2299.555,2300.6492,91.5866,65.6108,478.3513,6.5257
BRA,2022-12,2299.555,2300.6492,91.5866,65.6108,478.3513,6.5257
BRA,2023-01,,,85.2158,66.809,471.8333,7.3713
BRA,2023-02,,,85.2158,66.809,471.8333,7.3713
BRA,2023-03,,,85.2158,66.809,471.8333,7.3713
BRA,2023-04,,,85.2158,66.809,471.8333,7.3713
BRA,2023-05,,,85.2158,66.809,471.8333,7.3713
BRA,2023-06,,,85.2158,66.809,471.8333,7.3713
BRA,2023-07,,,85.2158,66.809,471.8333,7.3713
BRA,2023-08,,,85.2158,66.809,471.8333,7.3713
BRA,2023-09,,,85.2158,66.809,471.8333,7.3713
BRA,2023-10,,,85.2158,66.809,471.8333,7.3713
BRA,2023-11,,,85.2158,66.809,471.8333,7.3713
BRA,2023-12,,,85.2158,66.809,471.8333,7.3713
BRA,2024-01,,,89.4595,65.1426,553.8944,7.2738
BRA,2024-02,,,89.4595,65.1426,553.8944,7.2738
BRA,2024-03,,,89.4595,65.1426,553.8944,7.2738
BRA,2024-04,,,89.4595,65.1426,553.8944,7.2738
BRA,2024-05,,,89.4595,65.1426,553.8944,7.2738
BRA,2024-06,,,89.4595,65.1426,553.8944,7.2738
BRA,2024-07,,,89.4595,65.1426,553.8944,7.2738
BRA,2024-08,,,89.4595,65.1426,553.8944,7.2738
BRA,2024-09,,,89.4595,65.1426,553.8944,7.2738
BRA,2024-10,,,89.4595,65.1426,553.8944,7.2738
